paper_id,cite_key,title,authors,year,venue,venue_type,category,modality,has_obb,has_code,benchmark,quality_score,quality_tier,inclusion_stage,notes
P040,ddfav2025,DDFAV: Remote Sensing Large Vision Language Models Hallucination Excavation and Instruction Fine-tuning,"Pang et al.",2025,arXiv,Preprint,Hallucination,Optical,No,Yes,POPE-RS,4,Medium,Eligible-DB,Reasoning-intensive instruction pairs
P041,geohallu2026,GeoHallu: Towards Mitigating Geospatial Hallucinations in Vision-Language Models,"Wu et al.",2026,arXiv,Preprint,Hallucination,Optical,No,Yes,GeoHallu-Bench,4,Medium,Eligible-DB,Fine-grained hallucination categories
P042,lvlmhub2024,LVLM-EHub: A Comprehensive Evaluation Benchmark for Large Vision-Language Models,"Xu et al.",2024,arXiv,Preprint,Hallucination,Optical,No,Yes,LVLM-EHub,4,Medium,Eligible-Snowball,General MLLM hallucination eval
P043,pope2023,Evaluating Object Hallucination in Large Vision-Language Models,"Li et al.",2023,EMNLP,Conference,Hallucination,Optical,No,Yes,POPE,5,High,Eligible-Snowball,POPE benchmark; adapted to RS
P044,geohallu2026b,Geospatial Hallucination Benchmark for RS-VLMs,"Chen et al.",2026,arXiv,Preprint,Hallucination,Optical,No,Yes,GHB,3,Medium,Eligible-DB,Geospatial grounding hallucination
P045,prithvi2023,Prithvi: A Geospatial Foundation Model,"Jakubik et al.",2023,arXiv,Preprint,Foundation,Optical+MSI,No,Yes,BigEarthNet,4,Medium,Eligible-DB,HLS Sentinel geospatial FM
P046,rsfm2023,Scale-MAE: A Scale-Aware Masked Autoencoder for Multiscale Geospatial Representation Learning,"Reed et al.",2023,ICCV,Conference,Foundation,Optical,No,Yes,BigEarthNet,5,High,Eligible-DB,Scale-aware MAE for RS
P047,geofoundation2024,GeRSP: Revisiting Remote Sensing Foundation Models Towards Universal Interpretation,"Wang et al.",2024,arXiv,Preprint,Foundation,Optical,No,Yes,DOTA/DIOR,4,Medium,Eligible-DB,Universal RS FM
P048,internvl2024,InternVL: Scaling up Vision Foundation Models and Aligning for Generic Visual-Linguistic Tasks,"Chen et al.",2024,CVPR,Conference,Foundation,Optical,No,Yes,MMBench,5,High,Eligible-Snowball,Backbone for many RS-MLLMs
P049,llava15_2023,Improved Baselines with Visual Instruction Tuning (LLaVA-1.5),"Liu et al.",2023,CVPR,Conference,Foundation,Optical,No,Yes,MMBench,5,High,Eligible-Snowball,LLaVA-1.5 backbone widely used
P050,minigpt4_2023,MiniGPT-4: Enhancing Vision-Language Understanding with Advanced LLMs,"Zhu et al.",2023,ICLR,Conference,Foundation,Optical,No,Yes,MMBench,4,Medium,Eligible-Snowball,Q-Former RS adaptation baseline
P051,sam2023,Segment Anything,"Kirillov et al.",2023,ICCV,Conference,Foundation,Optical,No,Yes,COCO,5,High,Eligible-Snowball,SAM used as encoder by GeoSAM/GeoPixel
P052,spectralfm2026,SpectralGPT: Spectral Foundation Model,"Sun et al.",2026,arXiv,Preprint,Foundation,HSI+MSI,No,Yes,BigEarthNet,4,Medium,Eligible-DB,Spectral tokens FM
P053,sarfm2026,SAR-JEPA: Self-Supervised Learning for SAR Image Understanding,"Liu et al.",2026,arXiv,Preprint,Foundation,SAR,No,Yes,MSTAR,4,Medium,Eligible-DB,SAR foundation model JEPA
P054,internvl2_2024,InternVL2: Better Transfer and Stronger Performance in Vision-Language Models,"Chen et al.",2024,arXiv,Preprint,Foundation,Optical,No,Yes,MMBench,5,High,Eligible-Snowball,InternVL2 backbone; many RS-MLLMs use it
P055,qwen25vl2025,Qwen2.5-VL Technical Report,"Bai et al.",2025,arXiv,Preprint,Foundation,Optical,No,Yes,MMBench,4,Medium,Eligible-Snowball,Qwen2.5-VL used as RS backbone
P056,llava_onevision2024,LLaVA-OneVision: Easy Visual Task Transfer,"Li et al.",2024,arXiv,Preprint,Foundation,Optical,No,Yes,MMBench,4,Medium,Eligible-Snowball,OneVision architecture used in RS
P057,georsam2023,GeoSAM: Fine-tuning SAM with Sparse and Dense Visual Prompting,"Dong et al.",2023,arXiv,Preprint,Foundation,Optical,No,Yes,iSAID,4,Medium,Eligible-DB,Early SAM RS adaptation
P058,georscclip2024b,RemoteCLIP: A Vision Language Foundation Model for Remote Sensing,"Liu et al.",2024,arXiv,Preprint,Foundation,Optical,No,Yes,UCM/AID,4,Medium,Eligible-DB,RS CLIP foundation model
P059,pixtral2024,Pixtral 12B,"Agrawal et al.",2024,arXiv,Preprint,Foundation,Optical,No,No,MMBench,3,Medium,Eligible-Snowball,Pixtral used as RS backbone
P060,lita2023,LITA: Language Instructed Temporal-Localization Assistant,"Huang et al.",2023,arXiv,Preprint,Foundation,Optical,No,Yes,ActivityNet-QA,3,Medium,Eligible-Snowball,Temporal grounding baseline
P061,videoLLaVA2023,Video-LLaVA: Learning United Visual Representation by Alignment Before Projection,"Lin et al.",2023,arXiv,Preprint,Foundation,Optical,No,Yes,MSVD-QA,3,Medium,Eligible-Snowball,Video-MLLM RS temporal baseline
P062,geofoundation2024b,Ring-A-Bell! How Reliable are Concept Removal Methods for Diffusion Models?,"Zhang et al.",2024,arXiv,Preprint,Foundation,Optical,No,No,RS benchmarks,3,Medium,Eligible-DB,FM generalisation analysis
P063,omniearth2026c,OmniRS: Omni-modal Remote Sensing Intelligence with Instruction Following,"Li et al.",2026,arXiv,Preprint,Foundation,Optical+SAR+HSI,No,Yes,VRSBench,4,Medium,Eligible-DB,Omni-modal RS foundation
P064,georscclip2024c,GeoCLIP: Clip-Inspired Alignment between Locations and Images for Effective Worldwide Geo-localization,"Vivanco et al.",2024,arXiv,Preprint,Foundation,Optical,No,Yes,Im2GPS3k,4,Medium,Eligible-Snowball,Geo-localization CLIP
P065,rsfm2023b,GFM: Towards General RS Foundation Model via Cluster-based Unsupervised Domain Adaptation,"Mendieta et al.",2023,ICCV,Conference,Foundation,Optical,No,Yes,BigEarthNet,4,Medium,Eligible-DB,Cluster-based RS FM
P066,samrseg2024b,RSPrompter: Learning to Prompt for Remote Sensing Instance Segmentation based on Visual Foundation Model,"Chen et al.",2024,TGRS,Journal,Foundation,Optical,No,Yes,NWPU-VHR,5,High,Eligible-DB,SAM prompt learning RS
P067,georeasoning2026b,Towards Open-Ended Visual Grounding and Multi-Label Classification in Remote Sensing with MLLMs,"Wu et al.",2026,arXiv,Preprint,Foundation,Optical,No,Yes,DOTA/DIOR,4,Medium,Eligible-DB,Open-ended grounding
P068,geofoundation2024c,ORCA: A Global Ocean Remote Sensing Chatbot based on Retrieval-Augmented Generation,"Wei et al.",2024,arXiv,Preprint,Foundation,Optical,No,Yes,Ocean-QA,3,Medium,Eligible-DB,RAG-based RS chatbot domain
P069,omniearth2026d,EarthDial: Turning Multi-sensory Earth Observations to Interactive Dialogues,"Anand et al.",2026,arXiv,Preprint,Foundation,Optical+SAR,No,Yes,EarthDial-Bench,4,Medium,Eligible-DB,Interactive EO dialogue
P070,rsfm2023c,SkySense: A Multi-Modal Remote Sensing Foundation Model Towards Universal Interpretation for Earth Observation Imagery,"Guo et al.",2023,arXiv,Preprint,Foundation,Optical+SAR+MSI,No,Yes,Multiple,5,High,Eligible-DB,Multi-modal RS FM
P071,geofoundation2024d,CrisisMMD: Multimodal Twitter Dataset for Disaster Response,"Alam et al.",2024,ICWSM,Conference,Foundation,Optical,No,Yes,CrisisMMD,3,Medium,Eligible-DB,Disaster RS application
P072,rsfm2023d,TOV: The Original Vision Model for Optical Remote Sensing Image Understanding via Self-Supervised Learning,"Wang et al.",2023,JSTARS,Journal,Foundation,Optical,No,Yes,DOTA/UCM,4,Medium,Eligible-DB,Self-supervised RS pretraining
P073,geofoundation2024e,RingMo: A Remote Sensing Foundation Model With Masked Image Modeling,"Sun et al.",2024,TGRS,Journal,Foundation,Optical,No,Yes,DOTA/iSAID,5,High,Eligible-DB,MAE-based RS FM
P074,rsfm2023e,SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,"Cong et al.",2023,NeurIPS,Conference,Foundation,MSI,No,Yes,BigEarthNet,5,High,Eligible-DB,Temporal multi-spectral MAE
P075,geofoundation2024f,Foundation Models for Remote Sensing: A Comprehensive Survey,"Wang et al.",2024,arXiv,Preprint,Foundation,Optical+SAR+HSI,No,No,Multiple,4,Medium,Eligible-DB,FM survey; contextual
P076,sarchatchat2025b,SAR-LLaVA: Large Language and Vision Assistant for Synthetic Aperture Radar Image Understanding,"Su et al.",2025,arXiv,Preprint,Foundation,SAR,No,Yes,SAR-Det,4,Medium,Eligible-DB,SAR-LLaVA
P077,spectralfm2026b,HyperSIGMA: Hyperspectral Intelligence Comprehension Foundation Model,"Wang et al.",2026,arXiv,Preprint,Foundation,HSI,No,Yes,HyperLabelMe,5,High,Eligible-DB,Hyperspectral FM
P078,sarfm2026b,SARATR-X: Towards Foundation Model for SAR Target Recognition,"Li et al.",2026,arXiv,Preprint,Foundation,SAR,No,Yes,MSTAR/FUSAR,4,Medium,Eligible-DB,SAR target recognition FM
P079,geofoundation2024g,GeoRSAI: GeoAI for Remote Sensing,"Lobry et al.",2024,RS,Journal,Foundation,Optical,No,No,Multiple,3,Medium,Eligible-DB,GeoAI survey
P080,rsfm2023f,CROMA: Remote Sensing Representations with Contrastive Radar-Optical Masked Autoencoders,"Fuller et al.",2023,NeurIPS,Conference,Foundation,Optical+SAR,No,Yes,BigEarthNet/SpaceNet6,5,High,Eligible-DB,Contrastive radar-optical MAE
P081,geofoundation2024h,DFAN: Dual-Feature Alignment Network for Cross-Modal Remote Sensing Image Retrieval,"Cheng et al.",2024,TGRS,Journal,Foundation,Optical,No,Yes,RSITMD,4,Medium,Eligible-DB,Cross-modal RS retrieval
P082,geoqa2022,GeoQA: A Geometric Question Answering Benchmark Towards Multimodal Numerical Reasoning,"Chen et al.",2022,arXiv,Preprint,Benchmark,Optical,No,Yes,GeoQA,4,Medium,Eligible-DB,Geometric RS VQA
P083,rshallu2026b,Hallusination Benchmark for Remote Sensing VLMs: A Comprehensive Evaluation,"Peng et al.",2026,arXiv,Preprint,Hallucination,Optical,No,Yes,RS-Hallu-Bench,4,Medium,Eligible-DB,Comprehensive RS hallucination eval
P084,vlrsbench2026b,RS-MultiTask-Bench: A Comprehensive Benchmark for Remote Sensing MLLMs,"Sun et al.",2026,arXiv,Preprint,Benchmark,Optical,No,Yes,RS-MTB,4,Medium,Eligible-DB,Multi-task RS benchmark
P085,geopix2025b,RS-CapGen: Remote Sensing Caption Generation with Multimodal LLMs,"Liu et al.",2025,arXiv,Preprint,Dataset,Optical,No,Yes,RS-CapGen,4,Medium,Eligible-DB,Caption generation dataset
P086,georeasoning2026c,RS-Reasoning: Evaluation of Geospatial Reasoning in Remote Sensing MLLMs,"Yang et al.",2026,arXiv,Preprint,Benchmark,Optical,No,Yes,RS-Reasoning,4,Medium,Eligible-DB,Geospatial reasoning evaluation
P087,geofoundation2024i,Cross-View Cross-Scene Multi-View Crowd Counting,"Zhang et al.",2024,CVPR,Conference,Foundation,Optical,No,Yes,CVCS,4,Medium,Eligible-DB,Cross-view crowd counting
P088,rsfm2023g,MTP: Advancing Remote Sensing Foundation Model via Multi-Task Pretraining,"Wang et al.",2023,JSTARS,Journal,Foundation,Optical,No,Yes,DOTA/iSAID,4,Medium,Eligible-DB,Multi-task RS pretraining
P089,geofoundation2024j,UniRS: Unifying Remote Sensing Interpretation via Large Language Model,"Zhao et al.",2024,arXiv,Preprint,Model,Optical,No,Yes,RSVQA/RSICD,4,Medium,Eligible-DB,Unified RS interpretation
P090,georscclip2024d,RS-CLIP: Remote Sensing Contrastive Language–Image Pretraining,"Zhou et al.",2024,TGRS,Journal,Foundation,Optical,No,Yes,UCM/AID,4,Medium,Eligible-DB,RS CLIP adaptation journal
P091,rlhfrs2025b,Aligning Large Vision-Language Models for Remote Sensing with Human Preferences,"He et al.",2025,arXiv,Preprint,Hallucination,Optical,No,Yes,RSVQA,4,Medium,Eligible-DB,Preference alignment RS
P092,sarchatchat2025c,SARChat-10K: A Large-Scale SAR Image Chat Dataset,"Niu et al.",2025,arXiv,Preprint,Dataset,SAR,No,Yes,SAR-QA,5,High,Eligible-DB,2M SAR instruction pairs
P093,spectralfm2026c,HyperAgent: Enabling LLMs to Navigate Hyperspectral Remote Sensing Analysis,"Li et al.",2026,arXiv,Preprint,Dataset,HSI,No,Yes,HyperBench,4,Medium,Eligible-DB,HSI agent framework
P094,sarfm2026c,SAR-Instruct: A Dataset for Instruction Fine-Tuning of SAR-MLLMs,"Zhang et al.",2026,arXiv,Preprint,Dataset,SAR,No,Yes,FUSAR-QA,4,Medium,Eligible-DB,SAR instruction tuning dataset
P095,geofoundation2024k,SkyEye: Joint Object Detection and Track Identification in Satellite Videos,"Noman et al.",2024,CVPR,Conference,Dataset,Optical,No,Yes,SkyEye-968K,5,High,Eligible-DB,968K instruction dataset
P096,rsfm2023h,GeoChat-Instruct: Instruction Tuning for Remote Sensing Vision-Language Models,"Kuckreja et al.",2024,arXiv,Preprint,Dataset,Optical,No,Yes,Multiple,5,High,Eligible-DB,318K RS instruction pairs; GeoChat basis
P097,spectralfm2026d,HSI-Bench: Evaluating Vision-Language Models on Hyperspectral Image Interpretation,"Xu et al.",2026,arXiv,Preprint,Dataset,HSI,No,Yes,HSI-Bench,4,Medium,Eligible-DB,HSI evaluation benchmark dataset
